Year,TimeRange,TotalIncidents
2015,3:00 PM - 5:59 PM,9443
2015,6:00 PM - 8:59 PM,8965
2015,12:00 PM - 2:59 PM,8839
2015,9:00 AM - 11:59 AM,7914
2015,9:00 PM - 11:59 PM,6220
2015,12:00 AM - 2:59 AM,5725
2015,6:00 AM - 8:59 AM,4373
2015,3:00 AM - 5:59 AM,1909
2016,3:00 PM - 5:59 PM,17790
2016,6:00 PM - 8:59 PM,16986
2016,12:00 PM - 2:59 PM,16245
2016,9:00 AM - 11:59 AM,14605
2016,9:00 PM - 11:59 PM,11751
2016,12:00 AM - 2:59 AM,9864
2016,6:00 AM - 8:59 AM,8384
2016,3:00 AM - 5:59 AM,3489
2017,3:00 PM - 5:59 PM,18515
2017,6:00 PM - 8:59 PM,16791
2017,12:00 PM - 2:59 PM,16506
2017,9:00 AM - 11:59 AM,14979
2017,9:00 PM - 11:59 PM,11976
2017,12:00 AM - 2:59 AM,9969
2017,6:00 AM - 8:59 AM,8540
2017,3:00 AM - 5:59 AM,3610
2018,3:00 PM - 5:59 PM,11408
2018,12:00 PM - 2:59 PM,11124
2018,6:00 PM - 8:59 PM,10998
2018,9:00 AM - 11:59 AM,10037
2018,9:00 PM - 11:59 PM,7686
2018,12:00 AM - 2:59 AM,6510
2018,6:00 AM - 8:59 AM,5622
2018,3:00 AM - 5:59 AM,2300
